pass,pass_desc,image,baseline_n,ablated_n,delta_n,baseline_free,ablated_free,delta_free,diag,wall_support,baseline_wall_support,iou_vs_baseline,n_wall,n_window,n_door
axis_align,axis_align_segments,source.png,117,117,0,11,11,0,0,0.8485,0.8485,1.0,86,16,15
axis_align,axis_align_segments,sg2.png,127,125,-2,22,22,0,0,0.725,0.726,0.9869,96,13,16
axis_align,axis_align_segments,Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,110,0,35,35,0,0,0.7851,0.7851,1.0,85,8,17
snap_colinear,snap_colinear_coords,source.png,117,97,-20,11,24,13,0,0.8405,0.8485,0.6292,66,16,15
snap_colinear,snap_colinear_coords,sg2.png,127,125,-2,22,26,4,0,0.7546,0.726,0.4356,97,13,15
snap_colinear,snap_colinear_coords,Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,115,5,35,35,0,0,0.8147,0.7851,0.2814,90,9,16
merge_collin_1,merge_collinear (pre-T/L),source.png,117,116,-1,11,11,0,0,0.8585,0.8485,0.9303,85,16,15
merge_collin_1,merge_collinear (pre-T/L),sg2.png,127,124,-3,22,24,2,0,0.7614,0.726,0.9297,95,13,16
merge_collin_1,merge_collinear (pre-T/L),Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,107,-3,35,33,-2,0,0.7713,0.7851,0.7553,82,8,17
t_junction_snap,t_junction_snap,source.png,117,106,-11,11,15,4,0,0.8428,0.8485,0.8923,75,16,15
t_junction_snap,t_junction_snap,sg2.png,127,119,-8,22,30,8,0,0.7397,0.726,0.8455,91,13,15
t_junction_snap,t_junction_snap,Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,107,-3,35,32,-3,0,0.7782,0.7851,0.8198,82,8,17
truncate_overshoots,truncate_overshoots,source.png,117,117,0,11,11,0,0,0.8485,0.8485,1.0,86,16,15
truncate_overshoots,truncate_overshoots,sg2.png,127,126,-1,22,23,1,0,0.7618,0.726,0.806,97,13,16
truncate_overshoots,truncate_overshoots,Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,109,-1,35,34,-1,0,0.7864,0.7851,0.9851,84,8,17
merge_collin_2,merge_collinear (post T/L),source.png,117,117,0,11,11,0,0,0.8485,0.8485,1.0,86,16,15
merge_collin_2,merge_collinear (post T/L),sg2.png,127,126,-1,22,22,0,0,0.7441,0.726,0.9669,97,13,16
merge_collin_2,merge_collinear (post T/L),Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,110,0,35,35,0,0,0.7851,0.7851,1.0,85,8,17
snap_endpoints_1,snap_endpoints,source.png,117,122,5,11,10,-1,0,0.8285,0.8485,0.9793,90,17,15
snap_endpoints_1,snap_endpoints,sg2.png,127,123,-4,22,23,1,0,0.7593,0.726,0.8144,94,13,16
snap_endpoints_1,snap_endpoints,Gemini_Generated_Image_p4kt8zp4kt8zp4kt.png,110,113,3,35,31,-4,0,0.7804,0.7851,0.8995,89,7,17
manhattan_force_axis,manhattan_force_axis,source.png,117,120,3,11,12,1,0,0.861,0.8485,0.902,90,16,14
manhattan_force_axis,manhattan_force_axis,sg2.png,127,123,-4,22,27,5,0,0.7739,0.726,0.7681,94,13,16
